org,address,DBA or Program Name (if Applicable),Organization Address,Borough,Website (if Available),Phone Number,Organization Type,Mission Statement or Organizational Summary,Population Served,Types of Services Provided,Description of Programs or Service Opportunities Available to Participants,Hours of Operation and Participant Schedule,Service Location(s),Expected Participant Activities/Duties
"CITY RELIEF, INC.","Brooke Ave between East 147th Street and East 148th Street, Bronx, NY 10455",City Relief,"Brooke Ave between East 147th Street and East 148th Street, Bronx, NY 10455",Bronx,https://cityrelief.org,(646) 685-4346,501(c)(3) Nonprofit,Interested in Serving? Visit our website to sign up for an outreach in your area: www.cityrelief.org/volunteer,Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants; People experiencing homelessness and food insecurity,Community service/volunteer opportunities; Food pantry/meal service,"We begin by offering our outreach guests the
essentials they need to get through the day. Our
outreaches serve as pop-up care centers, where
staff and volunteers provide hot meals, distribute
hygiene kits and socks, and offer prayer for
those who want it. It?s a space where everyone is
welcome, and help is always within reach.

Volunteers assist with a variety of activities such as

1.Setting up tables, chairs, and tents on the street.

2.Pass out soup, bread, & beverages, and offer socks (& more!) to visitors at outreach.

3.Maintain a high level of cleanliness at and around the outreach.

4.Travel in teams around the nearby area to invite guests to the outreach.

5.Assist with site clean up and breakdown of tables, chairs, and tents.

Volunteers are encouraged to personally interact, through conversation, a shared meal, and even prayer with the people we serve. As a volunteer, you will help connect guests to City Relief staff for a Life Care Visit; a conversation where hope and tailored resources are offered.

*Please note that all City Relief outreaches take place outside rain or shine.

Minors: Must be 16+. Those under 18 need a parent?s consent and an adult chaperone (1 per 4 minors).

Attendance: Commit to the full outreach. Cancel in advance if you can?t make it?repeated no-shows may lead to suspension.

What to Wear: Dress for the weather and wear closed-toed shoes. Avoid expensive clothing, jewelry, or anything with inappropriate messages. Try to bring only what you need.","Wednesday to Saturday, 10: 00am to 1: 30pm","(see addresses in question ""additional locations"")","Volunteers assist with a variety of activities such as

1.Setting up tables, chairs, and tents on the street.

2.Pass out soup, bread, & beverages, and offer socks (& more!) to visitors at outreach.

3.Maintain a high level of cleanliness at and around the outreach.

4.Travel in teams around the nearby area to invite guests to the outreach.

5.Assist with site clean up and breakdown of tables, chairs, and tents.

Volunteers are encouraged to personally interact, through conversation, a shared meal, and even prayer with the people we serve. As a volunteer, you will help connect guests to City Relief staff for a Life Care Visit; a conversation where hope and tailored resources are offered."
Common Point NY,58-20 Little Neck Parkway Little Neck NY 11362,Invisible Hands,58-20 Little Neck Parkway Little Neck NY 11362,Queens,https://commonpoint.org,(917) 696-8788,Community-Based Organization,"Commonpoint is a social services organization that meets the diverse needs of New York City and beyond. We offer a wide range of programs for people of all ages, ability levels, and backgrounds to connect and grow together.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,"Community service/volunteer opportunities; Education or training; Food pantry/meal service; Administrative/office support: career/vocational training, career counseling, ESOL, GED","Work training programs and Educational classes, volunteer opportunties for SNAP eligiblity",open 7 days per week- 6am- 10pm,Same as above,"volunteering- food pantry sercixwa, older adult programs, working with children and supporting administrative needs"
Common Point NY,"67-09 108 Street, Forest Hills, NY 11375",Invisible Hands,"67-09 108 Street, Forest Hills, NY 11375",Queens,https://commonpoint.org,(917) 696-8788,Community-Based Organization,"Commonpoint is a social services organization that meets the diverse needs of New York City and beyond. We offer a wide range of programs for people of all ages, ability levels, and backgrounds to connect and grow together.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,"Community service/volunteer opportunities; Education or training; Food pantry/meal service; Administrative/office support: career/vocational training, career counseling, ESOL, GED","Work training programs and Educational classes, volunteer opportunties for SNAP eligiblity",open 7 days per week- 6am- 10pm,Same as above,"volunteering- food pantry sercixwa, older adult programs, working with children and supporting administrative needs"
Common Point NY,"77-17 Queens Blvd, Queens, NY",Invisible Hands,"77-17 Queens Blvd, Queens, NY",Queens,https://commonpoint.org,(917) 696-8788,Community-Based Organization,"Commonpoint is a social services organization that meets the diverse needs of New York City and beyond. We offer a wide range of programs for people of all ages, ability levels, and backgrounds to connect and grow together.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,"Community service/volunteer opportunities; Education or training; Food pantry/meal service; Administrative/office support: career/vocational training, career counseling, ESOL, GED","Work training programs and Educational classes, volunteer opportunties for SNAP eligiblity",open 7 days per week- 6am- 10pm,Same as above,"volunteering- food pantry sercixwa, older adult programs, working with children and supporting administrative needs"
Divine Revelation Ministry,"240 East 175th Street Lower level Bronx, NY 10457",Revelacion Divina Food Pantry,"240 East 175th Street Lower level Bronx, NY 10457",Bronx,https://revelaciondivinany.org,(646) 238-4237,501(c)(3) Nonprofit,"To rescue, equipped and send out to help our community and provide food for those in need",Individuals with disabilities; Older Adults 50+; Adults 25+; Youth 14-24; SNAP/Employment Program Participants; justice-involved individuals,Community service/volunteer opportunities; Food pantry/meal service; Workshops about healthy eating habits,"Food pantry involves food distribution, set up of food and cleaning facilities after the distribution each volunteer is responsible to serve and provide food with good customer service and quality of care",Mondays for receiving food trucks 8am for volunteer service at distribution 3-8pm,"240 East 175th Street Lower level Bronx, NY 10457",If it?s a man needs ability to carry heavy boxes and bags of garbage to set up and clean up the distribution center for women they are needed to serve by distributing the food to the clients and cleaning the stations and center at the end of the distribution
Educational Alliance,"197 East Broadway, New York, NY 10002",Manny Cantor Center,"197 East Broadway, New York, NY 10002",Manhattan,https://mannycantor.org/mcc-changemakers/volunteer-opportunities/,(646) 395-4101 x4562,501(c)(3) Nonprofit,"As the flagship site of Educational Alliance, we seek to bring our constituents together over shared goals for our vibrant neighborhood.

Through programs including our award-winning Early Childhood initiative, historic EA community art school, state-of-the-art fitness center, newly renovated Teen Center, and dynamic older adult centers, we are committed to empowering people so that they can flourish.

At Manny Cantor Center, we are guided by a strength-based model; we recognize the value of community engagement and believe that everyone is called upon ? and everyone is able ? to contribute substantively to their community.",Older Adults,Meal Service,"We serve breakfast and lunch to our older adult community Monday through Friday. To learn more, check out the links below:
Breakfast Service: https://cerv.is/0038g8Yz8Tr
Lunch Service: https://cerv.is/0038gLhUtEN","8: 45 am to 10 am, 11 am to 1:30 pm,","197 East Broadway New York, NY 10002",Serving Meals
"Elmcor Youth & Adult Activities, Inc","107-20 Northen Blvd, Corona, NY 11368","Elmcor Youth & Adult Activities, Inc","107-20 Northen Blvd, Corona, NY 11368",Queens,https://elmcor.org,(718) 650-0196,501(c)(3) Nonprofit,"Elmcor Youth & Adult Activities, Inc. is a Queens, New York Nonprofit, multi-service organization of professionals providing a variety of comprehensive programs that serve a broad and diverse spectrum of people, from preschool-aged children to older adults.",Youth 14-24; Adults 25+; Older Adults 50+; Case management/social services,Community service/volunteer opportunities; Food pantry/meal service; Shelter/housing support; Arts/recreation; After school youth programing,"Nutrition education, Health screening or referrals, case management/social services, Older Adult services, Housing service, and Recreational Center","Monday - Friday 9am - 5pm, Youth Recreational Center 3pm - 10pm Monday - Saturdays",107-20 Northen Blvd,"Assist with the Elmcor's Pantry program on Wednesdays year-around. We're looking for 2-3 participants who can assist with outreach, administration task, food inventory and deliveries as well as during food distribution. Multilingual is ideal and Welcome!"
Encore Community Services,"239 W 49th St, New York, NY 10019",Encore Community Services,"239 W 49th St, New York, NY 10019",Manhattan,https://encorenyc.org,(646) 494-8353,501(c)(3) Nonprofit,Encore?s mission is to improve the quality of life for older adults.,Older Adults 50+,Community service/volunteer opportunities; Food pantry/meal service,"Our Nutrition program prepares, serves, and delivers food to both members at our centers for congregate meals, and for delivery to homebound older adults.

Our Programming team runs events such as classes, social activities, games, etc. at both centers each day.","Our 49th St center is open Monday - Friday 8: 30am - 4: 30pm, and our 10th Ave center is open Tuesday - Saturday 8: 30am - 4: 30pm. Most volunteer opportunities take place in late morning or early afternoon",Either the 49th St or 10th Ave locations,"Packing, serving, and delivering meals for our nutrition program.
Assisting with basic admin tasks for member sign in to the center, such as signing people in for programs and handing our supplies"
Encore Community Services,"755 10th Ave, New York, NY 10019",Encore Community Services,"755 10th Ave, New York, NY 10019",Manhattan,https://encorenyc.org,(646) 494-8353,501(c)(3) Nonprofit,Encore?s mission is to improve the quality of life for older adults.,Older Adults 50+,Community service/volunteer opportunities; Food pantry/meal service,"Our Nutrition program prepares, serves, and delivers food to both members at our centers for congregate meals, and for delivery to homebound older adults.

Our Programming team runs events such as classes, social activities, games, etc. at both centers each day.","Our 49th St center is open Monday - Friday 8: 30am - 4: 30pm, and our 10th Ave center is open Tuesday - Saturday 8: 30am - 4: 30pm. Most volunteer opportunities take place in late morning or early afternoon",Either the 49th St or 10th Ave locations,"Packing, serving, and delivering meals for our nutrition program.
Assisting with basic admin tasks for member sign in to the center, such as signing people in for programs and handing our supplies"
EVERY DAY IS A MIRACLE,"2424 Jerome Ave, Bronx, NY 10468",,"2424 Jerome Ave, Bronx, NY 10468",Bronx,https://edmnyc.org,(646) 671-4360,501(c)(3) Nonprofit,Every Day is a Miracle (EDM) is a 501?(3) hunger relief organization that dedicates its efforts to helping low-income families overcome socio-economic difficulties and improve quality of life in the city of the Bronx. EDM has been fighting hunger and meeting the emergency food needs of low-income families in the Bronx since 2008.,Youth 14-24; Adults 25+; Older Adults 50+; SNAP/Employment Program Participants; Veterans. Temporary housing,"Community service/volunteer opportunities; Food pantry/meal service; Shelter/housing support; Administrative/office support; Social media, fundraising, communication",Participants would have the opportunity to develop or expand their skill on the different departments we actively have in our organization such service like the one above,8am-4pm,"2424 Jerome ave, 2626 east tremont","Participants will be involved in administrative, social media and communication, pantry and social services duties"
EVERY DAY IS A MIRACLE,"1970 West Farm Rd, Bronx, NY 10460",,"1970 West Farm Rd, Bronx, NY 10460",Bronx,https://edmnyc.org,(646) 671-4360,501(c)(3) Nonprofit,Every Day is a Miracle (EDM) is a 501?(3) hunger relief organization that dedicates its efforts to helping low-income families overcome socio-economic difficulties and improve quality of life in the city of the Bronx. EDM has been fighting hunger and meeting the emergency food needs of low-income families in the Bronx since 2008.,Youth 14-24; Adults 25+; Older Adults 50+; SNAP/Employment Program Participants; Veterans. Temporary housing,"Community service/volunteer opportunities; Food pantry/meal service; Shelter/housing support; Administrative/office support; Social media, fundraising, communication",Participants would have the opportunity to develop or expand their skill on the different departments we actively have in our organization such service like the one above,8am-4pm,"2424 Jerome ave, 2626 east tremont","Participants will be involved in administrative, social media and communication, pantry and social services duties"
EVLoves LLC,"201 Allen St. Unit 10193 New York, NY 10002",EVLovesNYC,"201 Allen St. Unit 10193 New York, NY 10002",Manhattan,https://evloves.nyc,(646) 770-2621,501(c)(3) Nonprofit,"EVLovesNYC is committed to building a community to fight hunger by providing free meals to New Yorkers and advocating for structural change to end food insecurity.

EVLovesNYC, a 501(c)(3) Nonprofit mutual aid, provides food and services to economically insecure New Yorkers. We started cooking in 2020 in response to growing food insecurity in New York City. Powered by a dedicated volunteer corps, our kitchen has cooked more than 775, 000 delicious and nutrient-rich meals for distribution to the city?s most underserved neighborhoods. Our mission expanded in 2022 with the influx of migrants to NYC. We now provide support for our newest neighbors, with food, job training, and advocacy, as well as referrals to other agencies.",SNAP/Employment Program Participants; Individuals with disabilities; justice-involved individuals; Older Adults 50+; Adults 25+; Youth 14-24,Community service/volunteer opportunities; Education or training; Food pantry/meal service,"Our programs include cooking and distributing nutrient-dense, culturally sensitive meals for food insecure neighbors. We also have volunteer shifts to support a weekly food pantry that operates out of our location.","M-F 10 AM - 2 PM, Sunday 9 AM - 5 PM","281 7th St. New York, NY 10009","We have volunteer shifts that include food preparation, cooking, meal packaging, distribution at our regular distro sites, meal delivery to home-bound seniors in a neighborhood housing complex, assistance packing food pantry bags, etc."
EVLoves LLC,"281 E 7th St, New York, NY 10009",EVLovesNYC,"281 E 7th St, New York, NY 10009",Manhattan,https://evloves.nyc,(646) 770-2621,501(c)(3) Nonprofit,"EVLovesNYC is committed to building a community to fight hunger by providing free meals to New Yorkers and advocating for structural change to end food insecurity.

EVLovesNYC, a 501(c)(3) Nonprofit mutual aid, provides food and services to economically insecure New Yorkers. We started cooking in 2020 in response to growing food insecurity in New York City. Powered by a dedicated volunteer corps, our kitchen has cooked more than 775, 000 delicious and nutrient-rich meals for distribution to the city?s most underserved neighborhoods. Our mission expanded in 2022 with the influx of migrants to NYC. We now provide support for our newest neighbors, with food, job training, and advocacy, as well as referrals to other agencies.",SNAP/Employment Program Participants; Individuals with disabilities; justice-involved individuals; Older Adults 50+; Adults 25+; Youth 14-24,Community service/volunteer opportunities; Education or training; Food pantry/meal service,"Our programs include cooking and distributing nutrient-dense, culturally sensitive meals for food insecure neighbors. We also have volunteer shifts to support a weekly food pantry that operates out of our location.","M-F 10 AM - 2 PM, Sunday 9 AM - 5 PM","281 7th St. New York, NY 10009","We have volunteer shifts that include food preparation, cooking, meal packaging, distribution at our regular distro sites, meal delivery to home-bound seniors in a neighborhood housing complex, assistance packing food pantry bags, etc."
Gay Men's Health Crisis,"307 W 38th Street, NY, NY 10018",Meals Program/The Volunteer Center,"307 W 38th Street, NY, NY 10018",Manhattan,https://gmhc.org,(212) 367-1327,501(c)(3) Nonprofit,"Mission:
As the world's first HIV/AIDS service organization, GMHC is working to end the AIDS epidemic and uplift the lives of all affected.

Our Services:
We provide HIV and STI testing, food and nutrition programs, housing support, workforce development, legal assistance, advocacy for benefits and health insurance, mental health and emotional support, substance use counseling, and more.",Adults 18+,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support,"We have volunteer openings in our Meal Service program. The Meal Service program serves lunch to GMHC clients Monday through Thursday.

Meal Service Volunteer Description:
Volunteers provide non-essential, supportive assistance to meal service operations under the direct supervision of the Volunteer Manager or designated staff. Activities may include assisting with serving meals in the client cafeteria, offering general non-specialized assistance to guests, clearing tables, and supporting basic end-of-service clean-up.
Volunteer activities are strictly supplemental and are not operationally critical. Volunteers do not replace, substitute for, or perform the duties of employees; do not engage in independent decision-making; and do not perform tasks requiring specialized training, certification, or professional judgment. All duties are assigned, monitored, and may be modified or discontinued at any time by staff to ensure safety, compliance, and continuity of services.

We need volunteers on Mondays, Tuesdays, Wednesdays, and Thursdays.

Time Commitment: 11: 00am to 2: 00pm. Weekly or Every Other Week.

Most volunteers choose one day (for example, Tuesdays) and come on that same day every week or every other week. Volunteers are welcome to volunteer more than one day each week.

In terms of ABAWD work rules - If someone is looking for the most volunteer hours available, the maximum available in this volunteer role would be 12 hours per week. That is if someone volunteered everyday Monday through Thursday.","We offer lunch service and welcome volunteers on Mondays, Tuesdays, Wednesdays, Thursdays and Friday. Time Commitment: 11: 00am to 2: 00pm. Weekly or Every Other Week.","307 W 38th Street, NY, NY 10018 - 5th Floor","Meal Service Volunteer Description:
Volunteers provide non-essential, supportive assistance to meal service operations under the direct supervision of the Volunteer Manager or designated staff. Activities may include assisting with serving meals in the client cafeteria, offering general non-specialized assistance to guests, clearing tables, and supporting basic end-of-service clean-up.
Volunteer activities are strictly supplemental and are not operationally critical. Volunteers do not replace, substitute for, or perform the duties of employees; do not engage in independent decision-making; and do not perform tasks requiring specialized training, certification, or professional judgment. All duties are assigned, monitored, and may be modified or discontinued at any time by staff to ensure safety, compliance, and continuity of services."
Grant House Unity Corp.,"2046 Flatbush Avenue, Brooklyn NY 11234",,"2046 Flatbush Avenue, Brooklyn NY 11234",Brooklyn,https://granthouseunity.com,(631) 652-3700,501(c)(3) Nonprofit,To alleviate food insecurities throughout the boroughs by providing fresh healthy foods to all communities in need as well as providing human service support to low income and homeless individuals so as to increase the necessary accesses leading to self-sufficiency.,Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,Community service/volunteer opportunities; Food pantry/meal service; Shelter/housing support,"We provide both perishable and nonperishable food items 2 days per week to anyone in need. If an individual needs housing, we work with a real estate company to find apartments.",Wednesday and Thursday each week from 10am - 5pm,"2046 Flatbush Avenue, Brooklyn NY 11234","We register individuals, pack bags, sort and store weekly deliveries, clean and sanitize all areas, repairs."
GVB,3001 West 37 Street Brooklyn NY 11224,DYCD,3001 West 37 Street Brooklyn NY 11224,Brooklyn,https://jccgci.org,(718)449-5000 x2260,501(c)(3) Nonprofit,"The Jewish Community Council of Greater Coney Island (JCCGCI) is a community-based organization with a citywide impact, providing a wide spectrum of services to benefit all segments of the population. These include supportive services for older adults, career services, educational support, crime reduction initiatives, community revitalization efforts, mental health services, and more. JCCGCI also offers capacity-building services to Nonprofits across all five boroughs through its Nonprofit HelpDesk division (www.nphd.org). With 40 program sites throughout New York City staffed by approximately 400 social service professionals, JCCGCI assists upwards of 2, 500 vulnerable individuals and families each day, working tirelessly to improve lives and strengthen communities.",Adults 25+; Older Adults 50+; Youth 14-24; SNAP/Employment Program Participants; Individuals with disabilities; justice-involved individuals,Food pantry/meal service; Education or training; Community service/volunteer opportunities,Older Adult Services ? Jewish Community Council of Greater Coney Island https://share.google/Xa3kcVaIB3e9fZOLw,Mn - Th 9-5pm Fr 9-2pm,3001 West 37 Street Brooklyn NY 11235,Management Services ? Jewish Community Council of Greater Coney Island https://share.google/oHs8fHrbvhfzxPIiR
GVB,128 Brighton Beach ave Brooklyn NY 11235,DYCD,128 Brighton Beach ave Brooklyn NY 11235,Brooklyn,https://jccgci.org,(718)449-5000 x2260,501(c)(3) Nonprofit,"The Jewish Community Council of Greater Coney Island (JCCGCI) is a community-based organization with a citywide impact, providing a wide spectrum of services to benefit all segments of the population. These include supportive services for older adults, career services, educational support, crime reduction initiatives, community revitalization efforts, mental health services, and more. JCCGCI also offers capacity-building services to Nonprofits across all five boroughs through its Nonprofit HelpDesk division (www.nphd.org). With 40 program sites throughout New York City staffed by approximately 400 social service professionals, JCCGCI assists upwards of 2, 500 vulnerable individuals and families each day, working tirelessly to improve lives and strengthen communities.",Adults 25+; Older Adults 50+; Youth 14-24; SNAP/Employment Program Participants; Individuals with disabilities; justice-involved individuals,Food pantry/meal service; Education or training; Community service/volunteer opportunities,Older Adult Services ? Jewish Community Council of Greater Coney Island https://share.google/Xa3kcVaIB3e9fZOLw,Mn - Th 9-5pm Fr 9-2pm,3001 West 37 Street Brooklyn NY 11235,Management Services ? Jewish Community Council of Greater Coney Island https://share.google/oHs8fHrbvhfzxPIiR
"Harlem Independent Living Center, Inc.","289 St. Nicholas Avenue, Lower Level, Suite 21, New York, NY 10027",Harlem Independent Living Center (HILC),"289 St. Nicholas Avenue, Lower Level, Suite 21, New York, NY 10027",Manhattan,https://hilc.org,(212) 222-7122,501(c)(3) Nonprofit,"Harlem Independent Living Center (HILC) is a disability-focused, community-led Nonprofit organization dedicated to empowering people with disabilities to live independently and with dignity. Incorporated in 1990 and founded by community members with disabilities, HILC was established to address gaps in services and advocacy in Harlem and surrounding communities. As a state and federally recognized Independent Living Center, HILC provides advocacy, direct services, skills-building, and community-based support to individuals with disabilities across New York City, with a focus on minority communities and the Greater Harlem area. Rooted in the principles of the independent living movement, HILC works to remove barriers, advance equity and accessibility, and promote full participation in community life.",Youth 14-24; Adults 25+; Older Adults 50+; Individuals with disabilities; SNAP/Employment Program Participants,Community service/volunteer opportunities; Administrative/office support,"Participants can be placed within HILC?s office and community programs to support day-to-day operations and public-facing activities. Service opportunities focus on administrative support, event assistance, and community outreach, allowing participants to contribute directly to ongoing programs that serve individuals with disabilities in Harlem. This may include assisting with front desk coverage, organizing files and materials, preparing outreach packets, and supporting staff with program needs. Participants may also help prepare for and assist at workshops and events, including setup, breakdown, and attendee support, as well as assist with outreach efforts such as distributing flyers or supporting community-based activities.","Monday through Friday, 9: 00 AM to 5: 00 PM. Participants can be scheduled for shifts during those hours depending on availability and program needs.","Primarily at HILC?s office at 289 St. Nicholas Avenue, Lower Level, Suite 21, New York, NY 10027, with additional opportunities at community-based locations throughout Harlem and New York City as part of outreach events and programming.","Front desk support, greeting visitors, answering phones, organizing and filing documents, assembling materials for programs and events, assisting with event setup and cleanup, supporting workshops or meetings, and helping with outreach activities such as distributing flyers or checking in attendees at events."
Health People,"552 Southern Blvd, Bronx, NY 10455",,"552 Southern Blvd, Bronx, NY 10455",Bronx,https://healthpeople.org,(646) 267-1397,501(c)(3) Nonprofit,"o empower and train residents of communities overwhelmed by chronic disease, AIDS, and social determinants of health to become leaders and educators in effectively preventing ill health, avoidable hospitalization, and unnecessary deaths.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; Individuals with disabilities; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Administrative/office support,Asthma Self Management Education; SCN Member; Medicaid assistor agency,M-F 9am to 6pm,"552 Southern Blvd. Bronx NY 10455, and throughout the South Bronx","Office and program administrative work, community health outreach, health education (coordinating and conducting health literacy seminars and workshops), drafting health information for distribution and placement on SM platforms, answering health questions from Bronx constituents, supporting health events, mentoring youth."
Henry Street Settlement,"265 Henry Street, New York, NY 10002",Henry Street Settlement,"265 Henry Street, New York, NY 10002",Manhattan,https://henrystreet.org,(212)766-9200 x2224,501(c)(3) Nonprofit,"Henry Street Settlement?s mission is to open doors of opportunity for Lower East Side residents and other New Yorkers through social service, arts, and health care programs. The organization is distinguished by its commitment to listening to and learning from our neighbors?and then acting to meet the most pressing needs of our community.

To meet those needs, we offer more than 50 programs to people of all ages through our Abrons Arts Center/Visual and Performing Arts, Employment, Education, Athletics & Enrichment, Older Adult Services, Health & Wellness, and Transitional & Supportive Housing divisions. These vast programs range from preschool to Meals on Wheels delivery, job-readiness training to mental health counseling, and supportive housing to theater performances.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support; Administrative/office support; Arts/recreation; Environmental/park cleanup,"Community Service, Community Engagement, Education, Vocational, Training, Outreach, Public Events, Youth Development, Older Adult Services, Food Distribution, Pantry Services, Facilities/Maintenance","Monday through Sunday, Days/Evenings",All program and administrative sites,"Food Distribution, Maintenance, Outreach, Marketing Assistance, Administrative, Event Support, Community Engagement"
Henry Street Settlement,"269 Henry Street, New York, NY",Henry Street Settlement,"269 Henry Street, New York, NY",Manhattan,https://henrystreet.org,(212)766-9200 x2224,501(c)(3) Nonprofit,"Henry Street Settlement?s mission is to open doors of opportunity for Lower East Side residents and other New Yorkers through social service, arts, and health care programs. The organization is distinguished by its commitment to listening to and learning from our neighbors?and then acting to meet the most pressing needs of our community.

To meet those needs, we offer more than 50 programs to people of all ages through our Abrons Arts Center/Visual and Performing Arts, Employment, Education, Athletics & Enrichment, Older Adult Services, Health & Wellness, and Transitional & Supportive Housing divisions. These vast programs range from preschool to Meals on Wheels delivery, job-readiness training to mental health counseling, and supportive housing to theater performances.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support; Administrative/office support; Arts/recreation; Environmental/park cleanup,"Community Service, Community Engagement, Education, Vocational, Training, Outreach, Public Events, Youth Development, Older Adult Services, Food Distribution, Pantry Services, Facilities/Maintenance","Monday through Sunday, Days/Evenings",All program and administrative sites,"Food Distribution, Maintenance, Outreach, Marketing Assistance, Administrative, Event Support, Community Engagement"
Henry Street Settlement,"301 Henry Street, New York, NY",Henry Street Settlement,"301 Henry Street, New York, NY",Manhattan,https://henrystreet.org,(212)766-9200 x2224,501(c)(3) Nonprofit,"Henry Street Settlement?s mission is to open doors of opportunity for Lower East Side residents and other New Yorkers through social service, arts, and health care programs. The organization is distinguished by its commitment to listening to and learning from our neighbors?and then acting to meet the most pressing needs of our community.

To meet those needs, we offer more than 50 programs to people of all ages through our Abrons Arts Center/Visual and Performing Arts, Employment, Education, Athletics & Enrichment, Older Adult Services, Health & Wellness, and Transitional & Supportive Housing divisions. These vast programs range from preschool to Meals on Wheels delivery, job-readiness training to mental health counseling, and supportive housing to theater performances.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support; Administrative/office support; Arts/recreation; Environmental/park cleanup,"Community Service, Community Engagement, Education, Vocational, Training, Outreach, Public Events, Youth Development, Older Adult Services, Food Distribution, Pantry Services, Facilities/Maintenance","Monday through Sunday, Days/Evenings",All program and administrative sites,"Food Distribution, Maintenance, Outreach, Marketing Assistance, Administrative, Event Support, Community Engagement"
Henry Street Settlement,"309 Henry Street, New York, NY",Henry Street Settlement,"309 Henry Street, New York, NY",Manhattan,https://henrystreet.org,(212)766-9200 x2224,501(c)(3) Nonprofit,"Henry Street Settlement?s mission is to open doors of opportunity for Lower East Side residents and other New Yorkers through social service, arts, and health care programs. The organization is distinguished by its commitment to listening to and learning from our neighbors?and then acting to meet the most pressing needs of our community.

To meet those needs, we offer more than 50 programs to people of all ages through our Abrons Arts Center/Visual and Performing Arts, Employment, Education, Athletics & Enrichment, Older Adult Services, Health & Wellness, and Transitional & Supportive Housing divisions. These vast programs range from preschool to Meals on Wheels delivery, job-readiness training to mental health counseling, and supportive housing to theater performances.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support; Administrative/office support; Arts/recreation; Environmental/park cleanup,"Community Service, Community Engagement, Education, Vocational, Training, Outreach, Public Events, Youth Development, Older Adult Services, Food Distribution, Pantry Services, Facilities/Maintenance","Monday through Sunday, Days/Evenings",All program and administrative sites,"Food Distribution, Maintenance, Outreach, Marketing Assistance, Administrative, Event Support, Community Engagement"
Henry Street Settlement,"40 Montgomery Street, New York, NY",Henry Street Settlement,"40 Montgomery Street, New York, NY",Manhattan,https://henrystreet.org,(212)766-9200 x2224,501(c)(3) Nonprofit,"Henry Street Settlement?s mission is to open doors of opportunity for Lower East Side residents and other New Yorkers through social service, arts, and health care programs. The organization is distinguished by its commitment to listening to and learning from our neighbors?and then acting to meet the most pressing needs of our community.

To meet those needs, we offer more than 50 programs to people of all ages through our Abrons Arts Center/Visual and Performing Arts, Employment, Education, Athletics & Enrichment, Older Adult Services, Health & Wellness, and Transitional & Supportive Housing divisions. These vast programs range from preschool to Meals on Wheels delivery, job-readiness training to mental health counseling, and supportive housing to theater performances.",Youth 14-24; Adults 25+; Older Adults 50+; justice-involved individuals; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Shelter/housing support; Administrative/office support; Arts/recreation; Environmental/park cleanup,"Community Service, Community Engagement, Education, Vocational, Training, Outreach, Public Events, Youth Development, Older Adult Services, Food Distribution, Pantry Services, Facilities/Maintenance","Monday through Sunday, Days/Evenings",All program and administrative sites,"Food Distribution, Maintenance, Outreach, Marketing Assistance, Administrative, Event Support, Community Engagement"
